T(C)|P(bar)|Vl(m3/kg)|Ul(kJ/kg)|Hl(kJ/kg)|Vv(m3/kg)|Uv(kJ/kg)|Hv(kJ/kg)
99.606|1.0000|0.0010432|417.40|417.50|1.6939|2505.6|2674.9
111.35|1.5000|0.0010527|466.97|467.13|1.1593|2519.2|2693.1
120.21|2.0000|0.0010605|504.49|504.70|0.88568|2529.1|2706.2
127.41|2.5000|0.0010672|535.08|535.34|0.71866|2536.8|2716.5
133.52|3.0000|0.0010732|561.10|561.43|0.60576|2543.2|2724.9
138.86|3.5000|0.0010786|583.88|584.26|0.52418|2548.5|2732.0
143.61|4.0000|0.0010836|604.22|604.65|0.46238|2553.1|2738.1
147.90|4.5000|0.0010882|622.65|623.14|0.41390|2557.1|2743.4
151.83|5.0000|0.0010925|639.54|640.09|0.37481|2560.7|2748.1
155.46|5.5000|0.0010967|655.16|655.76|0.34260|2563.9|2752.3
158.83|6.0000|0.0011006|669.72|670.38|0.31558|2566.8|2756.1
161.98|6.5000|0.0011044|683.36|684.08|0.29259|2569.4|2759.6
164.95|7.0000|0.0011080|696.23|697.00|0.27277|2571.8|2762.8
167.75|7.5000|0.0011114|708.40|709.24|0.25551|2574.0|2765.6
170.41|8.0000|0.0011148|719.97|720.86|0.24034|2576.0|2768.3
172.94|8.5000|0.0011180|731.00|731.95|0.22689|2577.9|2770.8
175.35|9.0000|0.0011212|741.55|742.56|0.21489|2579.6|2773.0
177.66|9.5000|0.0011242|751.67|752.74|0.20410|2581.2|2775.1
179.88|10.000|0.0011272|761.39|762.52|0.19436|2582.7|2777.1
182.01|10.500|0.0011301|770.75|771.94|0.18552|2584.1|2778.9
184.06|11.000|0.0011330|779.78|781.03|0.17745|2585.5|2780.6
186.04|11.500|0.0011358|788.51|789.82|0.17006|2586.7|2782.2
187.96|12.000|0.0011385|796.96|798.33|0.16326|2587.8|2783.7
189.81|12.500|0.0011412|805.16|806.58|0.15699|2588.9|2785.1
191.60|13.000|0.0011438|813.11|814.60|0.15119|2589.9|2786.5
193.35|13.500|0.0011464|820.84|822.39|0.14580|2590.9|2787.7
195.04|14.000|0.0011489|828.36|829.97|0.14078|2591.8|2788.8
196.69|14.500|0.0011514|835.68|837.35|0.13609|2592.6|2789.9
198.29|15.000|0.0011539|842.83|844.56|0.13171|2593.4|2791.0